,count,mean,std,min,median,max
INFLATION,424.0,2.582337323446536,1.4883537887214213,-1.9781989747510664,2.5595086509191844,8.598833063458944
UNRATE,424.0,5.663325471698113,1.7608577126961393,3.4,5.3,14.8
FEDFUNDS,424.0,2.7387028301886795,2.192043416938036,0.05,2.455,6.91
IP_GROWTH,424.0,1.379704877705517,4.2557064855860895,-19.01716756450096,2.2337535547746423,15.316849920100317
