Comparison,MAE_without_UNRATE,RMSE_without_UNRATE,MAE_with_UNRATE,RMSE_with_UNRATE,RMSE_change_with_minus_without,Improves_RMSE
ARIMA vs ARIMAX,0.2949693849739678,0.4063277969296996,0.420279029971909,0.5349109538774157,0.1285831569477161,False
SARIMA vs SARIMAX,0.22474983803028367,0.30597534887581157,0.26265831435242126,0.39167143605414445,0.08569608717833288,False
Ridge without UNRATE vs Ridge with UNRATE,0.4336714646579773,0.6232797974649317,0.5859557911086825,0.9107641675098237,0.287484370044892,False
XGBoost without UNRATE vs XGBoost with UNRATE,1.0276559653271848,1.720260796826403,1.017774154902015,1.7142095553536614,-0.006051241472741609,True
