date,actual,Naive,ARIMA,ARIMAX,SARIMA,SARIMAX,VAR,Ridge,XGBoost
2019-01-01,1.4766332681220184,1.9825969223167483,1.9674630062626983,2.0061396963832787,1.7097446026498884,1.760064646720787,1.967537996167934,1.787035122128603,2.0604434
2019-02-01,1.5074423162215744,1.4766332681220184,1.255588654944042,1.2765718748443424,1.2457135211162276,1.272257740537686,1.389003701002221,1.5170896418320914,1.6586751
2019-03-01,1.865673916713817,1.5074423162215744,1.6642316901904852,1.72057504213275,1.753400423081708,1.7604139829565435,1.5701604196773038,1.627461237505486,1.6390074
2019-04-01,1.980834757598604,1.865673916713817,2.019820465087721,2.0323310030978163,1.813163764287348,1.8577623034590316,2.0324042222266554,1.900049886691717,1.8653357
2019-05-01,1.779974595956002,1.980834757598604,1.7544390826888572,1.7868740553222644,1.9081867322676656,1.9291884625007587,2.0264378538659615,1.9420493046693728,2.0563717
2019-06-01,1.6573840904157144,1.779974595956002,1.904186863924259,1.9615741437210732,1.8121707823064057,1.8474741941622963,1.671639596339995,1.603519476433502,1.8850032
2019-07-01,1.8098542197341416,1.6573840904157144,1.4558663313461342,1.458200700419393,1.6400150907976354,1.652393958326515,1.6359405492678014,1.9104940923302327,1.7586343
2019-08-01,1.7227168654438962,1.8098542197341416,2.0189293279917377,2.0645471421258037,1.8833171796434593,1.9505122485364617,1.8911269246606692,2.0498336519106273,1.8789836
2019-09-01,1.6704673825508998,1.7227168654438962,1.5612157343429034,1.5649141132463869,1.6313014845440834,1.6121978192123585,1.6264431070804068,1.728432505188675,1.8890749
2019-10-01,1.7191119291485537,1.6704673825508998,1.63885132372364,1.6794404111634045,1.4706792347268687,1.5338395739869308,1.6244733476656934,1.5957747222953877,1.8789524
2019-11-01,2.070702599713048,1.7191119291485537,1.908392905908903,1.9033200570670736,1.9850406496047068,1.943166961710351,1.7065623487847263,1.7199879257818713,1.8890749
2019-12-01,2.2930353112747603,2.070702599713048,1.9261632572145424,1.9332718838734928,2.0864723042741344,2.0682648105857826,2.0926715930055755,2.0598267403659514,2.1404867
2020-01-01,2.566548531176416,2.2930353112747603,2.5334187342694126,2.572183256193424,2.6676286135544283,2.7344973497464236,2.2910789694994405,2.5466277059576443,2.3047957
2020-02-01,2.3143283045387264,2.566548531176416,2.362359760455789,2.3545700096098474,2.347518182227989,2.360094578962542,2.547699053187813,2.654375384952613,2.54764
2020-03-01,1.4829891206053605,2.3143283045387264,2.2250506888804953,2.2998024296333255,1.9786589467352975,1.9904427472018216,2.097283395182449,2.076834051354072,2.393831
2020-04-01,0.3125583212112204,1.4829891206053605,1.1445545278016058,0.923850862914789,0.970831110928796,0.9377075066149474,1.1278670295408006,1.1540046928235295,1.6986531
2020-05-01,0.19800514395234,0.3125583212112204,0.0216907535080883,-1.069533175174746,0.08040827647794557,-0.45727607555648164,1.2408746112491609,1.0497422009988968,0.59861
2020-06-01,0.7141005055379956,0.19800514395234,0.6384661333974593,1.2824374825982134,0.5224943187128341,0.9384945908487501,-0.028811307538993525,-1.6284086495819916,-0.10802616
2020-07-01,0.9919288416800676,0.7141005055379956,0.7601173680185696,0.46362922547388075,0.7614443558090629,0.6886978756863323,0.5767746127996971,-1.3024229124270637,0.06650106
2020-08-01,1.2729335637454042,0.9919288416800676,1.1193728743231046,1.338321206153924,1.1734492194031976,1.2447317800575426,0.9678201747447512,0.24764853977355772,0.5968783
2020-09-01,1.3814369605231749,1.2729335637454042,1.440787482454614,1.6671584401412025,1.3641060363311874,1.5154728007915064,1.1609390552862497,1.575449066440987,1.41955
2020-10-01,1.2228786101180944,1.3814369605231749,1.2507600251757056,0.8656157046404166,1.118473848761338,1.0978243952846671,1.3197812452500757,2.5590849202788775,1.5823326
2020-11-01,1.168887033940358,1.2228786101180944,1.3219115526565162,1.9512011813748047,0.969157546894623,1.0226076271795352,1.0226869240181908,3.4356017948676065,1.378222
2020-12-01,1.3117775848018989,1.168887033940358,1.0981007088444514,0.5239089124533396,0.9809382979691648,0.9311073014177144,1.1310271221142245,3.2241459540031445,1.3260221
2021-01-01,1.3644920352351877,1.3117775848018989,1.4654860167847117,1.8938959731653147,1.4207876361170189,1.4758449395725264,1.3456388106815953,4.544009004976291,1.2836803
2021-02-01,1.656028618434835,1.3644920352351877,1.3359740314590915,1.220208877307856,1.4522686832885452,1.492606889525529,1.338206139630922,2.3835399644885156,1.422024
2021-03-01,2.632853015763104,1.656028618434835,1.7558902997357761,1.548652199844834,2.4106775296794902,2.458854018803863,1.7520747655388615,1.001230874955665,1.5953366
2021-04-01,4.049948282641136,2.632853015763104,3.052492832905816,3.5757140251710093,3.85363762867511,3.720892863832139,2.7765863335758048,0.9326116237152602,2.3983378
2021-05-01,4.801135706806381,4.049948282641136,4.124660613403844,3.6392991576686553,4.3562541230151535,3.5900423834150956,4.240156621609367,3.268452021285195,3.6888485
2021-06-01,5.160175670148348,4.801135706806381,4.7512011429896,5.2806336148626265,4.617665553375643,5.178701586917777,4.876439397390453,5.503519756316482,3.7244904
2021-07-01,5.112238890647802,5.160175670148348,4.915727315572966,4.464569766579488,4.984401950329889,4.878647457110709,5.117376568373787,5.033610663046177,3.7560663
2021-08-01,5.023688194741283,5.112238890647802,4.830398463515941,4.966871678580476,4.875917975324077,4.9764784264289235,4.742345426407094,3.350784449586767,3.7560663
2021-09-01,5.212949279021384,5.023688194741283,4.759500244939482,4.916053409176744,4.950732615548496,5.124423751137636,4.60906364988362,3.18953970468135,3.7724817
2021-10-01,6.048383440327498,5.212949279021384,5.077438807504485,4.667357358509938,5.264259303978034,5.240821945469275,4.859284068983909,4.856248188879181,3.7639692
2021-11-01,6.674206408726402,6.048383440327498,6.0682652234215,6.623122492683281,6.181643605112354,6.23813916314072,5.853720228759041,6.9115990716523035,3.804994
2021-12-01,6.928667098426367,6.674206408726402,6.366438607515734,5.8285467293396085,6.453984671104876,6.4108958520828825,6.299805742913819,7.035507187801506,3.804994
2022-01-01,7.286754203155343,6.928667098426367,6.5881420274029034,6.955279583794674,6.980213656949072,7.035366067660331,6.412525814355037,6.229187716986158,3.8322783
2022-02-01,7.638012027240038,7.286754203155343,7.094064627671742,6.917607627828269,7.182628744108878,7.1976693855425795,6.781906315562047,6.437801526831958,3.8322783
2022-03-01,8.224524921416254,7.638012027240038,7.189256115996224,7.075450184872402,7.32139743430979,7.321889177276461,7.015256883912431,6.633488215874671,3.8322783
2022-04-01,7.910458257893627,8.224524921416254,8.081367379388952,8.420743528866204,8.042056707284738,7.938506881185285,7.731657048555256,8.114799562954525,3.5685136
2022-05-01,8.193173337717496,7.910458257893627,7.088974670861922,6.565455295424287,7.142373530059276,6.332932878892017,7.072072086756979,7.082066303189393,3.5620658
2022-06-01,8.598833063458944,8.193173337717496,8.061321785218505,8.594034109164468,7.8176060220030985,8.409303890421562,7.616874096894051,7.458882984469285,3.587512
2022-07-01,8.12350125437833,8.598833063458944,8.280403904137847,7.8738068928873775,8.651835404527827,8.551255616338763,8.03186184504617,7.622121081904363,3.5830982
2022-08-01,7.90198386741503,8.12350125437833,7.027354344335366,7.227959938507667,7.5824545162585775,7.698556098497171,7.2454454570686755,7.011741180368943,3.5830982
2022-09-01,7.873822856212786,7.90198386741503,8.061060096691644,8.186246934174036,7.673613420657009,7.856983521821933,7.216543418020382,7.217470131990834,3.5964177
2022-10-01,7.472533972171913,7.873822856212786,6.930035707543444,6.605406745378092,6.9581304673163675,6.913898570389997,7.174669601802886,7.25037875680954,3.6054096
