Root,Root Modulus
(-4.963227650217856-0j),4.963227650217856
(2.993994990270669+0.1448993573745593j),2.9974992619737915
(2.993994990270669-0.1448993573745593j),2.9974992619737915
(1.7431165834867925-0j),1.7431165834867925
(1.2152381151480636-0j),1.2152381151480636
(1.0353147914156162+0.03823535095731728j),1.0360205883025637
(1.0353147914156162-0.03823535095731728j),1.0360205883025637
(1.0129562128601042-0j),1.0129562128601042
