Rank,Model,MAE,RMSE,n_obs
1,SARIMA,0.22474983803028367,0.30597534887581157,88
2,SARIMAX,0.26265831435242126,0.39167143605414445,88
3,ARIMA,0.2949693849739678,0.4063277969296996,88
4,Naive,0.3080076390683528,0.4200442332779076,88
5,VAR,0.3557233182492751,0.47747778119378165,88
6,ARIMAX,0.420279029971909,0.5349109538774157,88
7,Ridge,0.5859557911086825,0.9107641675098237,88
8,XGBoost,1.017774154902015,1.7142095553536614,88
