,0
inflation_lag_1,1.3062185751382152
inflation_lag_2,-0.3943106752723937
IP_growth_lag_2,0.3176821916098267
IP_growth_lag_9,-0.2406072166115597
UNRATE_lag_7,0.22556703685379664
UNRATE_lag_6,0.21479112629442382
FEDFUNDS_lag_7,0.2015792842898213
IP_growth_lag_4,-0.18981070959102464
FEDFUNDS_lag_10,-0.16888785899499897
FEDFUNDS_lag_3,-0.15624363676250452
IP_growth_lag_6,0.15486073272156786
IP_growth_lag_3,-0.15297918481225903
FEDFUNDS_lag_6,0.14607234096924426
inflation_lag_5,-0.14384362998620337
inflation_lag_11,-0.13579597712273905
FEDFUNDS_lag_2,-0.13348031485004208
inflation_lag_10,0.13212706262657026
UNRATE_lag_11,-0.13203275719286756
FEDFUNDS_lag_9,-0.12524229748177973
UNRATE_lag_3,-0.12118897208095458
