Comparison,Without_UNRATE_Model,With_UNRATE_Model,MAE_without,MAE_with,RMSE_without,RMSE_with,RMSE_change,Improves_RMSE
ARIMA vs ARIMAX,ARIMA,ARIMAX,1.712887184631266,1.492751519217865,2.4928935183380165,2.4081617235589605,-0.08473179477905601,True
SARIMA vs SARIMAX,SARIMA,SARIMAX,1.8381879407855697,1.9720468054937355,2.619049556143128,3.0149923166290065,0.3959427604858785,False
Ridge without UNRATE vs Ridge with UNRATE,Ridge_no_UNRATE,Ridge,0.43062305128095857,0.5247390750588183,0.6140829055717316,0.7880069531876401,0.17392404761590852,False
XGBoost without UNRATE vs XGBoost with UNRATE,XGBoost_no_UNRATE,XGBoost,1.0510254160778703,1.04056640025862,1.7435160449977967,1.7421642008344596,-0.0013518441633371125,True
