date,actual,Naive,ARIMA,ARIMAX,SARIMA,SARIMAX,VAR,Ridge,XGBoost
2019-01-01,1.4766332681220184,1.9825969223167483,2.0158506115705848,2.02971979869953,1.962501302436621,1.9622303634667306,1.967537996167934,1.8518945220500194,2.0900044
2019-02-01,1.5074423162215744,1.4766332681220184,2.0653005908804816,2.090486093423917,1.9023403594920478,1.9150896321158244,1.9851722697869731,1.4994552718895164,1.7130119
2019-03-01,1.865673916713817,1.5074423162215744,2.0466183459186738,2.103222065891626,1.8661732291147795,1.7880273032362615,2.010930656185886,1.6254535957767344,1.6261004
2019-04-01,1.980834757598604,1.865673916713817,2.0960305683611002,2.158856347648725,1.7911897229557892,1.6681131586910642,2.03285057378137,1.9587606929358856,1.815363
2019-05-01,1.779974595956002,1.980834757598604,2.0902925925038547,2.1590235773148656,1.62508023409256,1.4918398924105691,2.048020774451719,1.909219799313615,2.054776
2019-06-01,1.6573840904157144,1.779974595956002,2.11490795887826,2.212816944459867,1.6114105139299684,1.3643596754094205,2.0562828216907194,1.606032918908464,1.9022745
2019-07-01,1.8098542197341416,1.6573840904157144,2.1242952673009534,2.2229279160970465,1.586578130026955,1.3365825998069774,2.058526093295751,1.824393078270912,1.7798692
2019-08-01,1.7227168654438962,1.8098542197341416,2.134476875007525,2.225749932481462,1.6992765343532623,1.4262041194186281,2.0558538583619397,2.0126387622990918,1.815363
2019-09-01,1.6704673825508998,1.7227168654438962,2.14731958899365,2.226787958748906,1.865581007334952,1.423209202546217,2.049318903458692,1.7294691137886073,1.867046
2019-10-01,1.7191119291485537,1.6704673825508998,2.153716002934358,2.235160876575755,1.7799354230588447,1.2560975160104428,2.03983818622814,1.6541330552848512,1.867046
2019-11-01,2.070702599713048,1.7191119291485537,2.1639353089555686,2.2085821237772914,1.9646430406771076,1.426241694544531,2.028181571366828,1.6991743266171704,1.867046
2019-12-01,2.2930353112747603,2.070702599713048,2.170148537349235,2.1939006095981277,2.0424986547967574,1.3724729907325208,2.014983887195447,2.0767860552419384,2.100904
2020-01-01,2.566548531176416,2.2930353112747603,2.177265709156124,2.202632469246396,2.053516553900336,1.3819645744814903,2.000763348195191,2.4500940823649078,2.3158565
2020-02-01,2.3143283045387264,2.566548531176416,2.183196169829172,2.2130564371244485,2.086501214403143,1.4179770515188217,1.985939952803515,2.603550563249832,2.573923
2020-03-01,1.4829891206053605,2.3143283045387264,2.1884036664310282,2.2464410798059515,2.1063306994222533,1.4179381182947002,1.970851918068182,2.1354840169070566,2.4305356
2020-04-01,0.3125583212112204,1.4829891206053605,2.1934523850765704,2.0087588353155024,2.1474421809401396,1.4206863552766764,1.955769736020673,1.2118523142874413,1.7721179
2020-05-01,0.19800514395234,0.3125583212112204,2.1976192215606827,0.7236464856778824,2.2385156387065237,3.7060341148403233,1.9409079763456671,0.13075822836851136,0.7501436
2020-06-01,0.7141005055379956,0.19800514395234,2.201648987485128,0.9118094494032098,2.246010386239768,3.3681175465133952,1.9264351134879165,-1.3093875002330053,-0.03928042
2020-07-01,0.9919288416800676,0.7141005055379956,2.2051089554129253,1.222293953348205,2.2596253283006145,2.8099390220754583,1.912481676565014,-0.6430717435735165,0.12940149
2020-08-01,1.2729335637454042,0.9919288416800676,2.20829098357991,1.3612734243700961,2.197835761449308,2.529599344667063,1.8991469955646068,0.9118473851195816,0.532604
2020-09-01,1.3814369605231749,1.2729335637454042,2.2111454278803673,1.5537311353843002,2.1066553990262467,2.0833894325006925,1.8865047807197188,2.061167076418742,1.4534785
2020-10-01,1.2228786101180944,1.3814369605231749,2.213691585011094,1.6221031454766055,2.153612617158859,2.00049051284966,1.8746077352910178,2.4536746675330283,1.559889
2020-11-01,1.168887033940358,1.2228786101180944,2.2160114866612077,1.7376871853225533,2.0523422952319934,1.6646797899572576,1.8634913690394843,2.6581575847720247,1.3628228
2020-12-01,1.3117775848018989,1.168887033940358,2.2180733133609216,1.7595369425280487,2.009656112564608,1.590917848679719,1.8531771513190072,2.647509463697533,1.3077911
2021-01-01,1.3644920352351877,1.3117775848018989,2.219944738578204,1.7815270927865672,2.0036152886745877,1.5501346350571856,1.8436751187972442,3.4961594118509556,1.3965373
2021-02-01,1.656028618434835,1.3644920352351877,2.221619849566056,1.8292707483049075,1.9855306680680287,1.438021202988675,1.834986032834156,2.5437183938161136,1.4657453
2021-03-01,2.632853015763104,1.656028618434835,2.223129272693762,1.8053875326796047,1.9746586836993087,1.436459867784659,1.8271031649533815,1.5474681900171179,1.57005
2021-04-01,4.049948282641136,2.632853015763104,2.2244879557505044,1.9008145386163513,1.9521183411736893,1.2580164567527254,1.8200137751032366,1.1861794517963382,2.3103251
2021-05-01,4.801135706806381,4.049948282641136,2.2257081223468584,2.0789011597052607,1.9021851629652198,0.9538217054657389,1.813700336052745,3.348857880306854,3.63677
2021-06-01,5.160175670148348,4.801135706806381,2.226807898782413,2.1006712516870465,1.8980759902887532,0.8836284826538234,1.808141547900976,5.292202546180903,3.8058226
2021-07-01,5.112238890647802,5.160175670148348,2.2277956746995793,2.020690641149094,1.8906112761459553,1.0106809139250208,1.8033131789546148,5.035574163020762,3.8255901
